student_id,date_registered,first_date_watched,first_date_purchased,date_diff_reg_watch,date_diff_watch_purch
255192,2021-12-01,NULL,NULL,NULL,NULL
255193,2021-12-01,2021-12-01,NULL,0,NULL
255194,2021-12-01,2021-12-01,NULL,0,NULL
255195,2021-12-01,NULL,NULL,NULL,NULL
255196,2021-12-01,NULL,2021-12-01,NULL,NULL
255197,2021-12-01,NULL,NULL,NULL,NULL
255198,2021-12-01,2022-02-17,NULL,78,NULL
255199,2021-12-01,2021-12-01,NULL,0,NULL
255200,2021-12-01,2021-12-01,NULL,0,NULL
255201,2021-12-01,2021-12-02,2021-12-01,1,-1
255202,2021-12-01,2021-12-01,NULL,0,NULL
255203,2021-12-01,2021-12-01,2021-12-01,0,0
255204,2021-12-01,2021-12-01,2021-12-01,0,0
255205,2021-12-01,2021-12-01,NULL,0,NULL
255206,2021-12-01,2021-12-01,2021-12-02,0,1
255207,2021-12-01,2021-12-01,2021-12-01,0,0
255208,2021-12-01,NULL,NULL,NULL,NULL
255209,2021-12-01,2021-12-01,NULL,0,NULL
255210,2021-12-01,NULL,NULL,NULL,NULL
255211,2021-12-01,2021-12-02,NULL,1,NULL
255212,2021-12-01,NULL,NULL,NULL,NULL
255213,2021-12-01,NULL,NULL,NULL,NULL
255214,2021-12-01,NULL,NULL,NULL,NULL
255215,2021-12-01,2021-12-30,NULL,29,NULL
255216,2021-12-01,NULL,NULL,NULL,NULL
255217,2021-12-01,NULL,NULL,NULL,NULL
255218,2021-12-01,2021-12-01,2021-12-01,0,0
255219,2021-12-01,NULL,NULL,NULL,NULL
255220,2021-12-01,2022-01-25,2021-12-01,55,-55
255221,2021-12-01,NULL,NULL,NULL,NULL
255222,2021-12-01,2021-12-01,NULL,0,NULL
255223,2021-12-01,NULL,NULL,NULL,NULL
255224,2021-12-01,NULL,2021-12-01,NULL,NULL
255225,2021-12-01,NULL,NULL,NULL,NULL
255226,2021-12-01,2022-07-19,2021-12-01,230,-230
255227,2021-12-01,2022-02-01,NULL,62,NULL
255228,2021-12-01,NULL,NULL,NULL,NULL
255229,2021-12-01,NULL,NULL,NULL,NULL
255230,2021-12-01,NULL,NULL,NULL,NULL
255231,2021-12-01,2021-12-16,2021-12-01,15,-15
255232,2021-12-01,2021-12-07,2021-12-01,6,-6
255233,2021-12-01,NULL,NULL,NULL,NULL
255234,2021-12-01,NULL,NULL,NULL,NULL
255235,2021-12-01,2021-12-01,NULL,0,NULL
255236,2021-12-01,NULL,NULL,NULL,NULL
255237,2021-12-01,NULL,NULL,NULL,NULL
255238,2021-12-01,2021-12-01,NULL,0,NULL
255239,2021-12-01,2021-12-01,NULL,0,NULL
255240,2021-12-01,NULL,NULL,NULL,NULL
255241,2021-12-01,2022-01-26,2022-03-21,56,54
255242,2021-12-01,NULL,NULL,NULL,NULL
255243,2021-12-01,2021-12-01,2021-12-01,0,0
255244,2021-12-01,NULL,NULL,NULL,NULL
255245,2021-12-01,2021-12-01,NULL,0,NULL
255246,2021-12-01,2021-12-01,NULL,0,NULL
255247,2021-12-01,NULL,NULL,NULL,NULL
255248,2021-12-01,NULL,NULL,NULL,NULL
255249,2021-12-01,NULL,NULL,NULL,NULL
255250,2021-12-01,NULL,NULL,NULL,NULL
255251,2021-12-01,NULL,NULL,NULL,NULL
255252,2021-12-01,NULL,NULL,NULL,NULL
255253,2021-12-01,2021-12-01,NULL,0,NULL
255254,2021-12-01,2021-12-03,NULL,2,NULL
255255,2021-12-01,2021-12-15,2021-12-01,14,-14
255256,2021-12-01,NULL,NULL,NULL,NULL
255257,2021-12-01,2021-12-02,2021-12-01,1,-1
255258,2021-12-01,NULL,NULL,NULL,NULL
255259,2021-12-01,2022-01-12,2021-12-01,42,-42
255260,2021-12-01,2021-12-01,NULL,0,NULL
255261,2021-12-01,2021-12-07,NULL,6,NULL
255262,2021-12-01,2021-12-24,2021-12-24,23,0
255263,2021-12-01,NULL,NULL,NULL,NULL
255264,2021-12-01,NULL,NULL,NULL,NULL
255265,2021-12-01,NULL,2021-12-01,NULL,NULL
